"splt_hy","Freq"
"저",674
"제",337
"업무",316
"경험",299
"현대",279
"자동차",256
"회사",256
"고객",246
"사람",210
"기업",207
"저의",206
"팀",194
"목표",191
"물류",186
"직무",164
"프로젝트",164
"능력",163
"관리",161
"역량",157
"때",156
"기술",154
"지식",154
"도전",151
"활동",151
"일",149
"후",146
"문제",142
"이",142
"설계",140
"과정",139
"분야",135
"현대모비스",135
"부품",133
"시간",132
"시장",132
"바탕",131
"환경",129
"생산",128
"인턴",121
"소통",117
"공학",116
"인재",116
"개발",115
"나",109
"글",108
"팀원",108
"비스",107
"함",101
"현대자동차",101
"열정",99
"글로벌",98
"산업",97
"생활",97
"생각",96
"역할",96
"제품",96
"전공",94
"점",90
"효율",90
"가치",89
"사업",88
"그",85
"관심",84
"동아리",84
"성장",84
"방법",83
"시스템",81
"동안",80
"전자",79
"결",78
"의견",78
"프로그램",78
"학생",78
"이후",77
"노력",76
"세계",76
"영업",76
"현장",76
"품질",75
"연구",74
"친구",73
"계획",72
"시절",72
"자신",71
"최고",70
"대학",68
"문화",68
"상황",68
"서비스",68
"앞",68
"차량",68
"정보",67
"협력",67
"분석",66
"과목",65
"수업",65
"차",65
"책임감",65
"서로",64
"하",64
"등",63
"부분",63
"업체",63
"기계",62
"모습",62
"미래",62
"부서",62
"엔지니어",62
"교육",61
"발전",61
"사회",61
"자세",61
"공부",60
"성공",59
"신뢰",59
"중요",59
"대회",58
"도움",58
"재무",58
"운영",57
"입사",57
"전문",57
"처음",57
"플랜트",56
"적극적",55
"지원",55
"직원",55
"전문가",54
"회로",54
"관련",53
"해외",53
"꿈",52
"사원",52
"저희",52
"결과",51
"공정",51
"기본",51
"아이디어",51
"조직",51
"곳",50
"성격",50
"경영",48
"스스로",48
"안전",48
"어려움",48
"장점",48
"정신",47
"핵심",47
"국내",46
"다음",46
"이해",46
"지속",46
"데이터",45
"무엇",45
"이상",45
"관계",44
"기존",44
"향상",44
"개선",43
"기회",43
"마음",43
"가능",42
"이유",42
"자신감",42
"엔지니어링",41
"지금",41
"기초",40
"말",40
"봉사",40
"실무",40
"영어",40
"위",40
"자료",40
"제작",40
"당시",39
"비용",39
"자격증",39
"과",38
"군",38
"삶",38
"데",37
"실패",37
"아르바이트",37
"의사소통",37
"작업",37
"전기",37
"조사",37
"종합",37
"한국",37
"기간",36
"뒤",36
"모델링",36
"방식",36
"변화",36
"시험",36
"처리",36
"개인",35
"대학교",35
"동료",35
"제철",35
"주제",35
"학교",35
"제게",34
"학년",34
"해결",34
"협업",34
"경쟁력",33
"기사",33
"리더",33
"센서",33
"직",33
"창의",33
"컴퓨터",33
"혁신",33
"과제",32
"구성원",32
"국제",32
"마케팅",32
"의식",32
"책임",32
"간의",31
"기준",31
"기획",31
"끝",31
"전략",31
"필요",31
"근무",30
"금융",30
"성과",30
"시",30
"여행",30
"지역",30
"최선",30
"최종",30
"태도",30
"홍보",30
"가",29
"경우",29
"구매",29
"기반",29
"단계",29
"만족",29
"무역",29
"브랜드",29
"상대방",29
"선배",29
"원",29
"회계",29
"가족",28
"가치관",28
"계기",28
"공장",28
"교수",28
"그것",28
"긍정",28
"부모",28
"분",28
"상품",28
"이익",28
"조원",28
"고객사",27
"단점",27
"매출",27
"모두",27
"방향",27
"손님",27
"음식",27
