"splt_lg","Freq"
"LG",416
"기술",253
"경험",230
"사람",218
"생산",183
"공정",168
"목표",162
"프로젝트",162
"지식",160
"제품",149
"팀",141
"업무",134
"저의",134
"분야",128
"후",121
"생활",118
"고객",117
"개발",111
"능력",110
"시장",110
"시스템",102
"역량",102
"문제",99
"직무",99
"설계",98
"관리",97
"회사",97
"전공",95
"과정",92
"바탕",91
"수업",91
"공학",90
"팀원",87
"기업",82
"엔지니어",82
"결과",81
"관심",81
"데이터",81
"열정",80
"계획",78
"세계",77
"연구",76
"환경",76
"동아리",73
"방법",73
"건강",71
"활동",69
"도전",68
"생각",68
"최고",68
"자동차",66
"효율",66
"영업",65
"인턴",65
"도움",64
"미래",64
"전문가",63
"컴퓨터",63
"앞",60
"상황",59
"노력",58
"인재",58
"전문",57
"프로그램",57
"결",56
"과목",56
"서비스",56
"성공",56
"디스플레이",55
"통신",55
"관련",54
"차량",53
"처음",53
"공부",52
"기계",52
"소통",52
"친구",52
"기존",51
"대회",51
"성장",51
"기본",50
"학교",49
"현장",49
"산업",48
"입사",48
"꿈",47
"디스",47
"레",47
"성과",47
"최적",47
"대학",46
"부품",46
"프로그래밍",46
"가치",45
"발전",44
"품질",44
"향상",44
"사업",43
"학년",43
"삶",42
"이후",42
"점",42
"처리",42
"책임감",41
"마음",40
"성적",40
"학생",40
"함",40
"네트워크",39
"시절",39
"이해",39
"제어",39
"후에",39
"과제",38
"글로벌",38
"리그",38
"학점",38
"데",37
"이론",37
"교육",36
"마케팅",36
"부분",36
"분석",36
"국내",35
"반도체",35
"시대",35
"정보",35
"취득",35
"회로",35
"개선",34
"기간",34
"사원",34
"운영",34
"유",34
"전기",34
"정도",34
"모습",33
"부서",33
"중요",33
"학부",33
"협력",33
"기회",32
"빅",32
"실패",32
"이유",32
"개인",31
"기반",31
"문제점",31
"성격",31
"실제",31
"실험",31
"언어",31
"지금",31
"화학",31
"발표",30
"역할",30
"제작",30
"졸업",30
"흥미",30
"자세",29
"자신감",29
"재료",29
"최종",29
"가능",28
"과학",28
"교수",28
"기초",28
"솔루션",28
"스스로",28
"업체",28
"작품",28
"주제",28
"진행",28
"경쟁력",27
"논문",27
"사고",27
"시",27
"장비",27
"중국",27
"특허",27
"팀워크",27
"플러스",27
"해외",27
"협업",27
"대하",26
"센서",26
"아이디어",26
"에너지",26
"지속",26
"지원",26
"혁신",26
"공모전",25
"공장",25
"군",25
"긍정",25
"기술력",25
"문화",25
"요소",25
"의견",25
"작업",25
"한계",25
"관계",24
"구조",24
"눈",24
"방식",24
"비전",24
"선배",24
"스마트",24
"실무",24
"알고리즘",24
"앱",24
"영어",24
"자료",24
"준비",24
"해결",24
"당시",23
"마지막",23
"소프트웨어",23
"특성",23
"현재",23
"교내",22
"디자인",22
"브랜드",22
"인생",22
"자격증",22
"태양",22
"프로세스",22
"핵심",22
"회의",22
"강점",21
"곳",21
"기능",21
"기사",21
"서로",21
"속",21
"수강",21
"스마트폰",21
"실습",21
"필수",21
"그것",20
"내용",20
"매력",20
"비용",20
"생명",20
"설비",20
"자동",20
"장점",20
"전체",20
"직",20
"차",20
"필요",20
"개발자",19
"경쟁",19
"말",19
"모바일",19
"선택",19
"성취",19
"아르바이트",19
"안전",19
"일정",19
"전략",19
"조사",19
"가격",18
"계기",18
"고등학교",18
"기기",18
"단계",18
"동시",18
"뒤",18
"만족",18
"몸",18
"사업부",18
"상품",18
"신뢰",18
"운동",18
"원가",18
"인터넷",18
"일원",18
"자연",18
"전반",18
"전지",18
"창의",18
"최선",18
"평가",18
"끝",17
"니즈",17
"달성",17
"동기",17
"라인",17
"매출",17
"변화",17
"비즈니스",17
"상용",17
"소비자",17
"수준",17
"신입",17
"원",17
"이익",17
"자원",17
"정신",17
"주변",17
"책",17
"학습",17
"효과",17
"건축",16
"고가",16
"길",16
"내",16
"모듈",16
"사항",16
"사회",16
"성능",16
"세상",16
"소재",16
"실력",16
"여름",16
"연구실",16
"영향",16
"우수한",16
"위",16
"재무",16
"전력",16
"절감",16
"조직",16
"체력",16
"최근",16
"판단",16
"한국",16
"경우",15
"기준",15
"대학교",15
"분석력",15
"사용",15
"상",15
"성취감",15
"우수",15
"원리",15
"원인",15
"웨어러블",15
"인프라",15
"잡지",15
"재고",15
"전공과목",15
"점수",15
"주행",15
"차세대",15
"투자",15
"판매",15
"하기",15
"하드웨어",15
"현실",15
"활용",15
"후배",15
"흐름",15
"힘",15
"가지",14
"갈등",14
"공학도",14
"근무",14
"노하우",14
"디바",14
"물류",14
"방향",14
"봉사",14
"부모",14
"선행",14
"안드로이드",14
"연구원",14
"자율",14
"자재",14
"적극적",14
"전",14
"주도",14
"최대",14
"최소",14
"최신",14
"축구",14
"학기",14
"해당",14
"해석",14
"간의",13
"게임",13
"경제",13
"구체",13
"답",13
"덕분",13
"동료",13
"배",13
"소자",13
"웹",13
"의료",13
"인",13
"인간",13
"장치",13
"전국",13
"제약",13
"차별",13
"책임",13
"최초",13
"타입",13
"개개인",12
"경기",12
"담당자",12
"말씀",12
"보",12
"분자",12
"뷰티",12
"사용자",12
"생산량",12
"서적",12
"수요",12
"순간",12
"어려움",12
"업계",12
"예상",12
"이슈",12
"인식",12
"자리",12
"제조",12
"집",12
"트렌드",12
"피드백",12
"화장품",12
"간",11
"고객사",11
"공간",11
"단점",11
"담당",11
"대화",11
"도로",11
"동향",11
"방학",11
"보고서",11
"본부",11
"부문",11
"분위기",11
"상태",11
"손",11
"수",11
"수도",11
"수행",11
"신호",11
"어플리케이션",11
"예선",11
"오류",11
"올해",11
"용량",11
"위기",11
"융합",11
"음악",11
"의사소통",11
"이미지",11
"인포테인먼트",11
"작곡",11
"종합",11
"중심",11
"지능",11
"커뮤니케이션",11
"파트",11
"협력하",11
"가장",10
"가치관",10
"경영학",10
"고민",10
"교환",10
"구매",10
"구축",10
"규모",10
"기법",10
"기획",10
"깊이",10
"끈기",10
"단가",10
"대구",10
"대부분",10
"마인드",10
"매장",10
"무선",10
"물품",10
"반응",10
"밤",10
"방안",10
"보람",10
"샵",10
"서버",10
"시그마",10
"시작",10
"심사",10
"안",10
"여행",10
"영상",10
"이야기",10
"자부심",10
"장기",10
"장정",10
"재생",10
"적용",10
"조원",10
"주도하",10
"진출",10
"차이",10
"칭찬",10
"테스트",10
"팀장",10
"플랫폼",10
"회장",10
"훈련",10
"경영",9
"관점",9
"국내외",9
"노트",9
"대비",9
"대표",9
"대표자",9
"디어",9
"뜻",9
"로봇",9
"멘토링",9
"물질",9
"방",9
"변환",9
"불량",9
"불편",9
"사물",9
"상사",9
"세",9
"수율",9
"시도",9
"시험",9
"신경",9
"안정",9
"연습",9
"완성",9
"위해선",9
"의사",9
"인원",9
"임",9
"입장",9
"자전거",9
"자체",9
"작년",9
"작동",9
"제조업",9
"주파수",9
"즐거움",9
"질",9
"질문",9
"체제",9
"클라우드",9
"태도",9
"토대",9
"토론",9
"통계",9
"통찰력",9
"패커",9
"펜",9
"프로",9
"하루",9
"핸드폰",9
"향후",9
"형태",9
"확보",9
"결정",8
"경로",8
"경진",8
"구성하",8
"국제",8
"달",8
"대학생",8
"멘토",8
"명의",8
"박람회",8
"병",8
"복합",8
"본선",8
"볼",8
"사례",8
"사실",8
"사진",8
"상대",8
"센터",8
"속도",8
"수단",8
"수익",8
"시야",8
"실시간",8
"아버지",8
"완벽",8
"외국어",8
"요구",8
"요청",8
"욕심",8
"원동력",8
"이동",8
"이외",8
"인상",8
"인턴십",8
"제게",8
"제한",8
"조건",8
"조교",8
"증가",8
"지역",8
"참가",8
"창조",8
"창출",8
"추가",8
"충족",8
"코드",8
"타임",8
"테이블",8
"평소",8
"하나하나",8
"학",8
"해결책",8
"홍보",8
"황하",8
"회계",8
"가족",7
"간접",7
"거래",7
"고장",7
"고통",7
"공감",7
"공대",7
"관리자",7
"구성원",7
"극복",7
"기구",7
"내기",7
"누군가",7
"대외",7
"대형",7
"도",7
"동작",7
"디지털",7
"리더십",7
"마무리",7
"마스크",7
"마음가짐",7
"메모리",7
"명",7
"모델",7
"모임",7
"모터",7
"목소리",7
"방송",7
"사용법",7
"사장",7
"상승",7
"설명",7
"설문",7
"성",7
"순환",7
"습관",7
"시뮬레이션",7
"실",7
"실적",7
"실행",7
"어머니",7
"엘지",7
"역사",7
"예비군",7
"예측",7
"오차",7
"용품",7
"운전자",7
"위원회",7
"유기",7
"의미",7
"의식",7
"이로",7
"인기",7
"자금",7
"장애우",7
"적성",7
"제공",7
"제출",7
"조화",7
"주",7
"직책",7
"진동",7
"집적",7
"집중력",7
"첨단",7
"초등학교",7
"카메라",7
"카페",7
"콘텐츠",7
"탈",7
"파악",7
"페이스",7
"학술",7
"학업",7
"학회",7
"합창",7
"핵",7
"행동",7
"화면",7
"확신",7
"가동",6
"가운데",6
"값",6
"강의",6
"거버",6
"계약",6
"고급",6
"고속",6
"곡",6
"공사",6
"교체",6
"구현",6
"그동안",6
"그룹",6
"그중",6
"근무자",6
"글",6
"기관",6
"기숙사",6
"기억",6
"날",6
"날짜",6
"낭비",6
"능률",6
"단체",6
"대상",6
"대학원",6
"데이터베이스",6
"도중",6
"마우스",6
"맞춤",6
"목적",6
"발원지",6
"배려",6
"배치",6
"배터리",6
"보안",6
"보조",6
"보탬",6
"분",6
"산학",6
"상대방",6
"서신",6
"선",6
"세부",6
"소중한",6
"수입",6
"숫자",6
"습득",6
"시너지",6
"시선",6
"약속",6
"엘지전자",6
"예비",6
"오늘",6
"외부",6
"용어",6
"원격",6
"원의",6
"위원",6
"위원장",6
"위치",6
"유지",6
"유학",6
"인력",6
"인지도",6
"일의",6
"일주",6
"임무",6
"자산",6
"작성",6
"적응",6
"전원",6
"조언",6
"조장",6
"중간",6
"중점",6
"중학교",6
"지원금",6
"직원",6
"차례",6
"컨버전스",6
"키",6
"키워",6
"통신사",6
"투명",6
"패",6
"패키지",6
"패턴",6
"팩",6
"편의",6
"학문",6
"학창",6
"합숙",6
"현상",6
"화공",6
"확인",6
"환자",6
"히",6
"가공",5
"가르침",5
"가정",5
"간섭",5
"개념",5
"건설",5
"공동",5
"공연",5
"공자",5
"교통",5
"교훈",5
"구동",5
"국가",5
"궁극",5
"극대",5
"기쁨",5
"남",5
"납기",5
"내부",5
"단기",5
"단원",5
"대인",5
"대중",5
"동력",5
"동선",5
"등록",5
"라이딩",5
"량",5
"리",5
"리드",5
"리스크",5
"마루",5
"마른",5
"만족도",5
"망설임",5
"매뉴얼",5
"매니저",5
"메뉴",5
"면",5
"면접",5
"모델링",5
"목",5
"몸무게",5
"무기",5
"무대",5
"문",5
"문구",5
"미국",5
"반복",5
"발생",5
"방지",5
"번역",5
"법",5
"보안성",5
"본격",5
"부재",5
"부착",5
"블루",5
"사이",5
"생체",5
"석유",5
"선두",5
"선생",5
"세미나",5
"소음",5
"수능",5
"수상",5
"수차례",5
"순조",5
"스터디",5
"신규",5
"양산",5
"역학",5
"연결",5
"연구소",5
"영역",5
"오픈",5
"운송",5
"응용",5
"이벤트",5
"이해도",5
"인공",5
"인류",5
"인터페이스",5
"자격",5
"자발",5
"저장",5
"적극",5
"적외선",5
"전산",5
"전시회",5
"전통",5
"점유율",5
"정기",5
"제안",5
"제작비",5
"종류",5
"주문",5
"주요",5
"증대",5
"진로",5
"진취",5
"집중",5
"참석하",5
"참여",5
"창고",5
"창작물",5
"체계",5
"체험",5
"초",5
"추진력",5
"축",5
"충격",5
"취업",5
"측면",5
"커피",5
"컨설팅",5
"컴퓨팅",5
"크기",5
"탈락",5
"통합",5
"투표",5
"툴",5
"특징",5
"티",5
"평균",5
"폰",5
"해",5
"행사",5
"호기심",5
"화장실",5
"확대",5
