"splt_lotte","Freq"
"고객",227
"업무",218
"경험",216
"롯데",203
"사람",195
"저의",137
"프로젝트",131
"후",123
"관리",118
"활동",105
"영업",102
"과정",99
"제품",94
"회사",92
"팀",89
"입사",85
"능력",83
"개발",81
"생각",81
"직무",80
"지식",77
"기업",76
"서비스",76
"시장",76
"열정",76
"도전",75
"롯데정보통신",75
"바탕",75
"정보",74
"도움",72
"목표",72
"상품",72
"계획",71
"문제",71
"학생",71
"기술",70
"역량",70
"현장",70
"공부",69
"전공",69
"관심",67
"점",66
"직원",66
"처음",66
"시스템",64
"인턴",63
"분석",62
"친구",62
"교육",61
"부분",61
"매장",59
"분야",59
"역할",59
"함",59
"프로그램",58
"노력",57
"데이터",56
"수업",56
"가치",55
"동아리",55
"인재",55
"프로그래밍",54
"시절",53
"책임감",53
"생활",52
"안전",51
"팀원",51
"학교",51
"성공",50
"슈퍼",50
"봉사",49
"소통",49
"앞",49
"당시",48
"데",48
"마음",48
"발전",47
"방법",47
"여행",47
"결",45
"컴퓨터",45
"대학",44
"매출",44
"사업",44
"사원",44
"효율",44
"물류",41
"설계",41
"성격",41
"실무",41
"관계",40
"사회",40
"세계",40
"아르바이트",40
"자세",40
"전략",40
"조직",40
"준비",40
"과목",39
"글로벌",39
"방식",39
"힘",39
"적극적",38
"전문가",38
"최고",38
"기간",37
"말",37
"모습",37
"부모",37
"상황",37
"성장",37
"학년",37
"후에",37
"마케팅",36
"부서",36
"스스로",36
"자신감",36
"전문",36
"기회",35
"미래",35
"소비자",35
"이후",35
"정신",35
"환경",35
"과제",34
"롯데마트",34
"실력",34
"아버지",34
"영어",33
"의견",33
"중요",33
"개인",32
"결과",32
"공학",32
"관련",32
"생산",32
"선배",32
"성과",32
"해외",32
"곳",31
"꿈",31
"담당",31
"정도",31
"조사",31
"대회",30
"실패",30
"아이디어",30
"유통",30
"진행",30
"동료",29
"맥주",29
"스마트",29
"습관",29
"신입",29
"주변",29
"판매",29
"국내",28
"문화",28
"산업",28
"언어",28
"축제",28
"기본",27
"기초",27
"롯데칠성음료",27
"어머니",27
"이해",27
"케미칼",27
"협력",27
"강점",26
"기반",26
"네트워크",26
"롯데건설",26
"선생",26
"센터",26
"그것",25
"끝",25
"내용",25
"안",25
"영향",25
"지역",25
"효과",25
"소프트웨어",24
"신뢰",24
"실습",24
"어려움",24
"업체",24
"운영",24
"학",24
"금융",23
"단점",23
"문제점",23
"서로",23
"서버",23
"실수",23
"앱",23
"위치",23
"주류",23
"한국",23
"행사",23
"공장",22
"긍정",22
"기존",22
"빅",22
"식품",22
"실제",22
"자료",22
"통계",22
"학습",22
"건설",21
"경영",21
"계기",21
"끈기",21
"니즈",21
"달",21
"성취감",21
"실험",21
"장점",21
"지금",21
"커뮤니케이션",21
"특성",21
"학기",21
"가능",20
"가족",20
"경쟁력",20
"고등학교",20
"공정",20
"그룹",20
"기획",20
"대학교",20
"덕분",20
"사고",20
"삶",20
"알고리즘",20
"약속",20
"운동",20
"이유",20
"인사",20
"창의",20
"최선",20
"행동",20
"기계",19
"모바일",19
