"2012년과 2014년에 참여한 삼성멘토링을 통해 삼성에서 일하시는 멘토님들과의 만나 이야기를 들으며 삼성 취업을 목표로 삼게 되었습니다. 두 분의 멘토님과, 멘토님들께 소개받은 삼성의 다양한 분야에서 근무하시는 현직자들을 만나며 그분들의 공통점을 찾아낼 수 있었습니다. 모두 열정과 끊임없는 자기개발을 바탕으로 직업에 대한 전문성을 갖추고, 직업과 회사에 대해 강한 자부심을 가진 분들이셨습니다. 저도 삼성에 입사하여 열정을 가진 분들과 함께 일하며 능력을 개발하고, 회사의 발전에 이바지하고 싶습니다.상사가 경쟁력을 갖추기 위해서 가장 중요한 요소 중 하나는 글로벌 네트워크를 보유하는 것이라고 생각합니다. 세계 곳곳의 거점을 토대로 가격 경쟁력과 안정적인 수급망을 확보할 수 있기 때문입니다. 입사 후, 일본어 실력을 바탕으로 일본 도쿄에 있는 거점과의 유기적인 협력을 통해 사업에 기여하고 싶습니다. 최근 일본의 경제는 고용이 개선되고 소비가 진작되면서 완만한 성장세를 보이고 있고, 기업들의 설비투자가 늘어나는 상황이므로 철강, 화학소재, 자원 등의 분야에서 수요가 늘어날 가능성이 있다고 생각합니다. 이 분야의 시장을 공략해보고 싶습니다.중, 장기적으로는 삼성물산이 육성 품목으로 선정하여 역량을 집중시키고 있는 석탄과 구리의 트레이딩 사업에 참여하여 삼성물산의 세계시장에서의 점유율 상승에 기여하고 싶습니다.                         695자1,202                    "
"“블베병을 아십니까?” 블베병이란 `블랙베리 병`의 줄임말로 블랙베리 스마트폰에 심취한 사람들이 앓고 있는 병입니다. 블베병을 앓는 사람들은 “블랙베리 스마트폰을 안 써본 사람은 있어도 한 번만 써본 사람은 없다”고 말합니다. 저는 삼성 로고만 봐도 가슴이 두근거리는, 삼성병을 앓는 사람이 있는 그런 삼성을 만들고 싶습니다.  명실상부 세계 최고의 삼성의 강점은 사람입니다. 삼성이 세계 최고의 기업이 된 이유는 ‘기업이 사람이다’라는 경영가치관을 가지고 있었기에 가능했다고 생각합니다. 지금의 삼성이 있기에는 말단사원부터 시작해 모든 직원들이 1등 직원이기 때문이라 생각합니다. ‘회사를 만드는 것은 직원이며 직원을 만드는 것은 회사입니다.’라는 저의 가치관에 부합하기에 삼성에 지원하였습니다.“설비엔지니어직의 명장” 저는 어릴 적부터 두루 뭉실한 답보다는 뭐든 정확하게 떨어져야 직성이 풀리는 성격이었습니다. 이러한 성격 상 작은 틈, 미세한 오차 같은 걸 견디질 못합니다.  설비엔지니어직의 제품분석, 제품의 수율과 밀접한 관련이 있는 설비 품질 관리업무에서도 이러한 저만의 꼼꼼하고 디테일한 성격이 적합하다고 자신합니다.  삼성전자에서 설비엔지니어직의 명장으로 성장하고 싶습니다. 삼성전자에서 최고 명장이 되어 ‘생산 설비 종합 관리(TPM)’ 체제에 따라 설비 고장이나 불량품 발생 등을 ‘제로(0)화’ 해 생산성을 향상시키고 싶습니다.                         714자1,231                    "
곤충을 키우는게 취미이고 라면을 좋아해서 남들보다 잘 끓일 수 있습니다.                         40자70                    
"[ 기본기와 혁신을 두루 갖춘 기업 ]컴퓨터공학과에서 공부하면서 미래에 하고 싶은 일을 하기 위해선 탄탄한 인프라와 함께 변화를 주저하지 않는 혁신적인 기업을 갈 수 있는 실력을 갖출 필요가 있다고 생각했습니다. 소프트웨어 개발자이지만 그 바탕에 하드웨어와 기술력으로 기본이 되어야 하고 뛰어난 실력뿐만 아니라 의사소통력까지 겸비한 팀원들이 있어야지만 혁신적인 결과를 낼 수 있다고 생각했습니다. 국내의 내로라하는 우수한 소프트웨어 인재들이 삼성전자로 모이고 있고, 최근 갤럭시 S6와 기어 S2로 압도적인 하드웨어 기술력을 과시할 뿐만 아니라, Tizen OS, IoTivity 등 세계를 주도하는 소프트웨어 기술력까지 갖추고 있어서 이 모든 조건을 충족하는 기업은 바로 삼성전자라는 것엔 일말의 여지가 없었습니다.저는 삼성전자에 입사하여 빅데이터 기술을 이용해 사용자들의 의도 파악 및 행동 예측을 위한 인공지능 플랫폼을 구축하는 것이 목표입니다. 차후 삼성의 모든 제품이 IoTivity로 연결되면 엄청난 양의 데이터가 쏟아질 것이고, 이를 이용해 사용자의 패턴을 분석하고 행동을 예측하여 사용자에게 유용한 정보를 보여주고 자동으로 사용자에게 맞춰진 서비스를 제공하는 플랫폼을 만들고 싶습니다. 그뿐만 아니라 효율적인 알고리즘과 테스팅 기술로 내부 기반부터 다져서 세계에서 가장 경쟁력 있는 플랫폼을 구축하는 것이 저의 목표입니다 705자1,202                    "
"[최고를 돕는 날개가 되겠습니다]  지속적인 발전을 통한 품질개선으로 글로벌 식료품기업을 향한 발돋움에 보탬이 되는 법무팀 사원이 되고자 지원하였습니다. 글로벌 경제 위기 속에서도 무너지지 않고 세계 최정상의 자리를 유지하는 삼성을 보며 실패를 두려워하지 않고 끊임없이 도전을 추구하는 점이 제 가치관과 부합한다고 느꼈습니다. 삼성웰스토리는 까다로운 소비자들의 입맛과 소규모가구 증가 등의 사회변화에 대한 통찰력을 통해 프리미엄화를 추구하여 글로벌 시장을 향한 도전을 꿈꾸고 있습니다. 저 또한 여러 활동을 통해 도전정신을 키워왔습니다.법은 원리와 원칙이 무엇보다 중요시되는 영역입니다. 평소에 약속 시간을 잘 지키는 등 그동안 다른 사람들과 정한 원칙을 준수해왔고 존중해왔습니다. 교내 멘토링 프로그램의 운영진을 맡으며 책임감을 키웠습니다. 또한 전공과목을 이수하면서 확신을 갖고 법무 분야로 진로를 결정하게 되었습니다. 앞으로 제가 익힌 지식을 바탕으로 삼성웰스토리에서 비상하려고 합니다. 앞으로 15년 후 저는 지속적인 법 공부를 병행하면서 그동안의 경험을 바탕으로 법률 문제가 발생하였을 경우 적절한 자문과 더불어 문제 해결에 도움을 주는 사람이 되고자 합니다. 법이 딱딱하다는 이미지가 있지만, 업무 환경만큼은 원활한 소통을 이끌며 화기애애하게 만들 수 있는 사람이 될 것입니다.  679자1,177                    "
"`인재를 존중하며 행복하게 일할 수 있는 회사`제가 회사를 선택할 때 가장 우선시하는 것은 좋은 사람들과 함께 즐겁게 일을 함으로써 평생직장으로 행복하게 일에 집중할 수 있느냐 하는 것입니다. 저는 행복하게 일을 한다면 업무량이 많아도 긍정적으로 생각하고 집중할 수 있고, 이런 마음으로 일할 때 가장 최고의 업무 성과가 나온다고 생각합니다. 서로 어려운 상황에도 목표에 대한 도전의식을 가지고 서로에게 응원하며 일을 할 수 있도록 노력하는 인재가 되고 싶습니다.`고객의 안전과 편의를 위한 강건설계`앞으로 10년 후에는 고객의 안전과 편의성을 위한 프로젝트를 현실로 구현해내고 있을 것으로 생각합니다. 이것을 이루기 위해 동력기계설계, 기계역학을 이수하면서 강건설계 및 안전성 최고에 대한 꿈을 키워 왔습니다. 이렇게 자동차 부품을 고객을 지켜주고 편의를 제공하는 제품으로 발전될 수 있도록 이바지하고 싶습니다. 최종 목표는 개인의 성장만이 아닌 삼성전기와의 동반 성장과 고객을 안전하게 지키고 더 나은 가치를 제공하는 것입니다.`삼성전기의 앰배서더`대학교 강연을 추진하여 삼성전기에 대한 동기를 부여하고 싶습니다. 제가 전문가로 있는 분야를 다른 이들도 관심을 가질 수 있도록 기술력을 홍보하고 더 많은 후배가 삼성전기를 동경하고 잘 준비할 수 있도록 도와주고 싶기 때문입니다. 685자1,172                    "
"[동경하던 아이에서 꿈을 좇는 청년] 저는 어린 시절부터 공상과학영화를 즐겨 보았습니다. 그 중 엘리시움 영화 속에서 가구들이 주인의 취향을 분석하여 작동되는 모습을 보며, 영화 속 제품을 직접 생산해보고 싶다는 꿈을 꾸었습니다. 기회가 찾아왔고, 삼성에서 현재 IOT 기술을 접목해 SLEEPsence, 기어S2와 같은 신제품을 출시하고 있습니다. 이에 저는, 삼성전자 생산기술직에서 동경하던 IOT 제품을 생산하는 업무인 공정계획을 직접 설계하고 싶어 지원하였습니다. 먼저, 기계설계학을 전공하였고 역학 과목들을 통해 기본적인 개념과 전산제도 과목을 통해 ANSYS와 CAD 등 2D, 3D 설계 프로그램의 사용법에 대해 이해하였습니다. 또한, 공정 Mechanism을 이해할 수 있는 능력을 키우기 위해 르노삼성자동차 공장에서 실습을 통해 직무에 대한 지식 쌓았습니다. 저는 차량생산기술 부서에서 품질향상을 위한 공정개선에 참여한 경험이 있습니다. 제품 사이의 특징파악, 작업순서와 설비 배치, 작업 시간 등을 설정하는 과정에서 전반적인 공정에 대한 지식을 함양할 수 있었습니다. 또한, 잘못된 설계가 전체공정을 중단할 수 있다는 점에 직무 역할에 대한 책임감도 느꼈습니다. 저의 역량으로, 입사 후 저와 같은 아이들에게 꿈의 기술이 아닌 현실적인 과학기술임을 보여주고 향후 미래 기술도 삼성전자에서 제일 먼저 생산하는 데 이바지하겠습니다.  720자1,198                    "
"[국내 최고의 기업, 이유가 필요한가?] 제가 삼성전자 취업을 선택한 이유는 삼성전자가 국내 최고의 기업이자 세계를 호령하는 기업이기 때문입니다. 삼성전자는 매출액 기준으로 TV, 메모리 반도체 분야에서 세계 1위를 달리고 있으며 특히 인텔에 이어 시장 점유율 2위의 반도체 제조회사입니다. 고등학교시절 컴퓨터잡지를 자주 봤습니다. 메모리 반도체 분야에서는 국내 및 해외 여러 기업의 제품이 쏟아지고 있는데 CPU분야에서는 오직 인텔과 AMD만이 나오는 것을 보고 한국의 기술이 아직 부족하기 때문이라고 생각했습니다. 현재 삼성은 엑시노스 프로세서와 세계최초 12기가바이트 모바일 D램 양산과 같은 초격차 기술을 통해 PC에서 모바일로 변화하는 반도체 양상 속에서 1위 인텔을 넘어설 수 있는 유일한 기업입니다. 이렇게 세계 1위로 도약하는 삼성전자의 디딤돌 역할을 하기 위해 삼성전자에 지원하게 되었습니다. 입사 후 회사에서 이루고 싶은 꿈은 독자적 모바일 프로세서의 개발을 지원하고, 성공하는 것입니다. 현재 삼성전자는 ARM의 프로세서 디자인을 이용해 엑시노스 시리즈를 생산하는 것으로 알고있습니다. 삼성전자 LSI 사업부의 설비엔지니어로서 생산공정부터 직접 배우고, 이론적인 면을 추가로 공부한다면 독자적인 프로세서의 디자인에 도움이 될 것이며 이를 토대로 스마트폰 뿐 아닌 다양한 방면에서 사용되는 시스템 반도체 칩을 설계 및 생산하고 싶습니다. 723자1,228                    "
"{산업의 숨은 역군, 물류}저는 제가 가진 물류 가치관과 가장 잘 맞는 회사가 삼성전자 로지텍이라고 생각합니다. 저는 ‘보급병’으로 창고관리 등의 현장업무와 시스템 운용 등의 행정업무를 동시에 수행하며, 국방 물류를 경험했습니다. 주요 업무 중 하나였던 국방 물자시스템을 잘 운용하여 사단급 상장을 받기도 했습니다. 이 시스템은 국방 물자를 전산화시켜 청구, 수령, 재고관리 등 국방 물류 전체과정을 효율적, 통합적으로 관리함으로써 시간과 비용을 아껴, 군대가 ‘국방’이라는 일차적 목적에 충실할 수 있게 도와주는 역할을 합니다. 이를 보며, 우리나라 경제에서 물류가 갖는 중요성도 이와 같다고 생각하게 되었습니다. 물류를 전문가에게 맡김으로써, 기업이 핵심역량에 집중할 수 있도록 하는 것. 저는 이것이 진짜 물류의 가치라고 생각합니다. 마찬가지로 저는 삼성전자가 핵심 역량에 집중할 수 있도록 지원해주는 삼성로지텍이 있었기 때문에 세계적 성장을 이뤄낼 수 있었다고 생각합니다. 그뿐만 아니라 삼성로지텍은 삼성그룹사 외 다른 기업들도 핵심역량에 집중할 수 있도록 하는 추가적인 발전 가능성을 가지고 있습니다. 삼성로지텍의 이러한 모습을 보며 제가 생각하는 물류의 진짜 가치를 가장 잘 실현할 수 있는 곳이라 생각했습니다.저는 차후 삼성전자로지텍에서 수출입관리업무를 담당하고 싶습니다.수출입 업무 전반에 관한 업무를 담당하기 위해서는 전문지식과 글로벌마인드가 필수적이라고 생각하여 전공인 물류시스템을 공부하며 전문지식을 키웠고 호주 워킹홀리데이, 필리핀 어학연수 경험을 통해 글로벌마인드를 키웠습니다.{일신 우일신(日新 又日新)을 통한 전문지식 배양}‘내가 공부하는 이유’ 라는 책에서 좋아하는 구절이 있습니다. “삶의 호흡이 깊어지는 공부를 하라” 저는 뭔가를 즐기며 꾸준하게 배우는 것이 바로 그런 ‘깊은 호흡’이라고 생각합니다. 이러한 마음가짐을 바탕으로 매일매일 새로운 마음으로 무장하며 끊임없이 도전합니다.학교생활 중에는 주기적으로 무역영어, 물류관리사, 유통관리사 등 여러 자격증을 취득하며 스펙을 위한 공부가 아닌 공부를 위한 공부를 하였습니다. 이를 통해 선적서류 양식, 수출입통관 진행절차, 인코텀즈, 등 전공지식을 항상 숙지하고 있으며 누구보다 빠르게 실무에 적응할 수 있습니다. 실제로 전공 자격증 취득 시 준비 기간이 일주일 미만일 정도로 물류 전반 기본지식을 내재하고 있습니다.{글로벌 마인드 함양을 위한 노력}1년 6개월간 해외의 여러 지역을 돌아다니며 외국인과 직접 소통하며 문화를 받아들이고 글로벌 마인드를 함양하였습니다. 이러한 과정에서 자연스럽게 얻은 영어 실력은 학문이 아닌 소통의 방식으로 체득했으며 그만큼 외국인과의 대화가 자신 있습니다. 호주 워킹홀리데이 중 청소 회사에서 조장으로 일한 적이 있습니다. 주7일로 장기 근무하여 팀장과의 신뢰를 쌓았고 경력이 쌓이고 나서는 새 거래처를 컨택하는 업무에 팀장과 자주 동행하였습니다. 간단한 의사소통밖에 할 줄 모르던 시절이라 처음에는 컨택 현장에서의 전문적인 대화가 낯설었지만, 차츰 익숙해져 가며 한번은 청소 약품 공급업체와의 재계약을 성사시킨 적도 있습니다. 해외생활 초기에 외국인 울렁증이 있던 저는 이러한 과정을 통해 자신감을 얻었고 이러한 경험은 추구 적극적인 교류관계를 형성하는 데 많은 도움이 되었습니다.이외에도 여러 가지 봉사활동, 아르바이트, 물류실무 인턴 등을 도전했으며 성공한 때에는 스스로에게 당근을 주고, 실패했을 때는 반성을 하며 전문지식과 대외관계 향상에 항상 힘쓰고 있습니다.이 글을 쓰고 있는 지금도 실무의 더 나은 이해를 위한 해외 물류탐방에 도전할 계획을 하고 있습니다.{작심삼일}끊임없이 도전한다는 점에서 ‘어떠한 일을 시작하는 것’이 저의 장점이지만 이러한 결심이 그리 오래가지 않는 것이 제 단점이기도 했습니다. 이러한 제 단점에 해결책을 찾던 저는 ‘작심하는 것 자체’에 대한 재능에 착안하여 모든 단점을 장점으로 만들 방법을 찾아냈습니다. 그 방법이란 메모하는 습관입니다. 일단 생각난 것을 체계적인 계획을 세워 플래너에 채워나간 다음 매일 가지고 다니며 피드백하고 스스로 점수를 매기고 보상을 줍니다. 적어놓고 매일 보기에 목표한 것은 잊지 않으며 이어지는 피드백은 막연함을 뚜렷한 확신으로 바꿔줍니다. 체크리스트의 목록을 지워나가고 스스로 보상을 줄 때마다 쾌감을 느껴 스스로 동기부여 합니다. 사소하지만 숨을 쉬는 것처럼 지속하는 이 하나의 습관은 모든 단점을 장점으로 바꿔주는 마술 같은 힘을 가지고 있다고 확신합니다.이러한 습관이 제 삶의 일부가 된 지금, 저는 매일매일을 성공 경험으로 시작합니다. 저는 본래 올빼미족에 속하는 사람이었습니다. 제가 일찍 일어나자 마음먹었던 계기는 2학년 무렵 모 해외아르바이트 프로젝트에 지원하고 나서부터입니다. 2차 블로그 미션에서 자신을 PR하는 내용이 있었는데 타 지원자들과 비교하여 너무 초라한 나 자신을 보고 부끄러웠습니다. 또래인데도 불구하고 수많은 경험과 공모전 수상기록들, 해외체류, 영어 실력 등등 남들의 컨테이너는 하나하나 채워져서, 배에 실려서 어디론가 떠날 준비가 되어 있는 데 비해 저는 공 컨테이너나 마찬가지라는 생각이 들었습니다. 시켜서 하는 것에만 익숙해져 있던 무렵 이러한 충격은 제 인생을 바꿀 수 있는 습관을 만들었습니다. 그 시작이 메모하는 습관이었습니다. 결국, 해외 프로젝트는 실패했지만 이러한 계획과, 이를 이루어가는 습관을 바탕으로 호주 서쪽 끝에서 동쪽 끝까지의 자동차 여행을 해보기도 하였고, 다양한 아르바이트를 통해 사회성을 길렀으며, 워킹 홀리데이를 할 때는 매일 밤 11시 취침, 새벽 3시 기상하는 생활을 6개월가량 유지하는 근성도 길렀습니다. 이러한 목표설정과 달성의 선순환은 인턴쉽 프로그램에도 긍정적인 영향을 끼칠 것이라 믿어 의심치 않습니다. 2,906자5,012                    "
"제 이름은 세워서 빛나게 하라 라는 뜻을 가지고 있습니다. 화학공학을 전공하며 플랜트야 말로 공학적 지식들이 총 집약된 빛나는 결과물이라고 생각했습니다. 그 결과 플랜트 설계 엔지니어가 되어 이름처럼 빛을 세우고자 하는 목표를 세웠습니다. 설계 엔지니어가 되기 위해서 첫째, 열역학, 유체역학 등의 전공기초를 튼튼히 다져 화공기사자격증을 취득하였습니다. 둘째, 한국플랜트산업협회에서 진행하는 ‘플랜트 전문 인력 양성’ 프로그램에 참여하여 직무를 빠르게 배우고 현장에 즉시 투입 가능한 엔지니어가 되기 위해 노력하고 있습니다.기술력은 제가 기업을 선택하는 가장 중요한 기준입니다. 높은 시장점유율을 달성하고 미래에 대처하며 더 나아가서는 개인의 자기개발에 이르는 일련의 도미노의 출발점이기 때문입니다. 삼성중공업의 해양사업에서 기술은 세계 최고라고 생각합니다. 특히 삼성중공업이 세계 최초로 건조한 자항추진 FPSO ‘능가라호’에 저는 완전히 매료되어 지원하게 되었습니다.높은 부가가치를 가진 해양플랜트가 삼성중공업의 새로운 미래가 될 것이라고 생각합니다. 저의 전공지식과 공정 설계 능력은 Topside 설계를 할 때 가장 잘 발휘할 수 있습니다. 입사 후 해양플랜트의 Topside 설계-specialist가 되겠습니다. 그리고 전 세계 바다에 삼성중공업의 이름으로 빛을 건설하겠습니다. 697자1,184                    "
