"splt_sk","Freq"
"경험",346
"사람",261
"목표",256
"업무",256
"SK",254
"고객",242
"팀",230
"동아리",213
"프로젝트",212
"문제",198
"팀원",178
"생각",177
"학생",163
"후",160
"결",139
"처음",126
"방법",122
"기술",119
"대회",119
"수업",119
"결과",118
"활동",117
"저의",116
"지식",113
"회사",112
"개발",110
"공정",109
"노력",107
"친구",104
"상황",103
"정보",103
"부분",98
"시장",98
"서비스",97
"전공",97
"과정",96
"기업",96
"의견",91
"바탕",90
"인턴",90
"분야",89
"능력",88
"기존",87
"제품",87
"사업",86
"마케팅",85
"영업",85
"프로그램",85
"하이닉스",85
"설계",84
"점",84
"방식",83
"도전",82
"효율",81
"열정",80
"데이터",79
"반도체",79
"서로",79
"앞",79
"당시",78
"도움",78
"분석",78
"자료",78
"관리",77
"공부",75
"역할",75
"학년",75
"이후",74
"선배",73
"역량",73
"함",71
"책임감",70
"아이디어",69
"영어",69
"계획",68
"성공",68
"생활",67
"마음",66
"연구",66
"개인",65
"발표",65
"학교",65
"관심",64
"기회",64
"환경",64
"어려움",62
"과제",60
"학기",60
"공학",59
"조직",59
"정도",58
"대학",57
"관련",56
"소통",56
"교수",55
"기간",55
"시험",55
"문제점",54
"변화",54
"조사",54
"통신",54
"동기",53
"실험",53
"자동차",53
"직무",53
"산업",52
"아르바이트",52
"준비",52
"과목",51
"사원",51
"시절",51
"모임",50
"연습",50
"기본",49
"내용",49
"신입",48
"전",48
"교육",47
"발전",47
"성적",47
"개선",46
"구성원",46
"기능",46
"인재",46
"주제",46
"지금",46
"해결",46
"문화",45
"성과",45
"스스로",45
"최고",45
"현장",45
"경우",44
"기획",44
"끝",44
"시스템",44
"창의",44
"행사",44
"말",43
"품질",43
"상품",42
"제작",42
"효과",42
"부서",41
"엔지니어",41
"이유",41
"적극적",41
"가치",40
"데",40
"서버",40
"곳",39
"대학교",39
"전략",39
"직원",39
"처리",39
"하루",39
"회원",39
"군대",38
"자신감",38
"지원",38
"팀장",38
"홍보",38
"기초",37
"모습",37
"부모",37
"인터넷",37
"중요",37
"소비자",36
"소속감",36
"한국",36
"회장",36
"강의",35
"고민",35
"그것",35
"대하",35
"보고서",35
"상",35
"성장",35
"실제",35
"위",35
"이해",35
"입사",35
"교환",34
"대부분",34
"동료",34
"마지막",34
"진행",34
"축제",34
"향상",34
"화학",34
"회의",34
"공동",33
"방안",33
"성격",33
"성취감",33
"수",33
"언어",33
"체계",33
"평소",33
"긍정",32
"단계",32
"봉사",32
"운영",32
"자세",32
"주변",32
"중고차",32
"중국",32
"구조",31
"매출",31
"미래",31
"방향",31
"이론",31
"전체",31
"가능",30
"계기",30
"관계",30
"네트워크",30
"만족",30
"생산",30
"속",30
"위기",30
"최종",30
"특성",30
"하기",30
"해당",30
"갈등",29
"군",29
