"name","pass","edit","pass_rate","edit_rate"
"EBS",3,1,62.9779609910999,37.0220390089001
"LG",20,8,58.6362908935067,41.3637091064933
"SK",24,16,45.9619207586082,54.0380792413918
"USB",3,1,62.9779609910999,37.0220390089001
"가게",33,20,48.3364755743695,51.6635244256305
"가격",45,14,64.5716777733636,35.4283222266364
"가계",2,2,36.1850639839977,63.8149360160023
"가공",5,3,48.5874957014648,51.4125042985352
"가구",3,5,25.3853154449109,74.6146845550891
"가까이",4,6,27.4321572011395,72.5678427988605
"가능",41,22,51.3793694137343,48.6206305862657
"가든",7,3,56.953568854455,43.046431145545
"가량",6,3,53.1410169741516,46.8589830258484
"가르침",16,20,31.2064672128189,68.7935327871811
"가맹점",1,3,15.8964478875207,84.1035521124793
"가면",7,3,56.953568854455,43.046431145545
"가사",11,1,86.1827763109491,13.8172236890509
"가산점",6,2,62.9779609910999,37.0220390089001
"가상",9,7,42.164444747852,57.835555252148
"가속",4,1,69.4014157985136,30.5985842014864
"가속도",3,1,62.9779609910999,37.0220390089001
"가수",7,2,66.4947785411554,33.5052214588446
"가스",19,2,84.3426995536782,15.6573004463218
"가슴",14,10,44.2537853586495,55.7462146413505
"가슴속",7,1,79.876112781181,20.123887218819
"가야",1,4,12.4157517940883,87.5842482059117
"가운데",6,1,77.2840212359008,22.7159787640992
"가이드",1,4,12.4157517940883,87.5842482059117
"가입",9,4,56.059800578297,43.940199421703
"가입자",6,1,77.2840212359008,22.7159787640992
"가장",54,25,55.0518876933851,44.9481123066149
"가전제품",1,3,15.8964478875207,84.1035521124793
"가정",23,34,27.7237298488891,72.2762701511109
"가정환경",3,4,29.8380251071436,70.1619748928564
"가족",33,61,23.4745387497588,76.5254612502412
"가중",2,1,53.1410169741516,46.8589830258484
"가지",29,23,41.6893459359691,58.3106540640309
"가치",195,51,68.4349484754746,31.5650515245254
"가치관",48,17,61.5536841805537,38.4463158194463
"각광",1,1,36.1850639839977,63.8149360160023
"각국",14,4,66.4947785411554,33.5052214588446
"각도",1,6,8.6345144920445,91.3654855079555
"각오",2,8,12.4157517940883,87.5842482059117
"각인",3,1,62.9779609910999,37.0220390089001
"간",54,17,64.3004803759723,35.6995196240277
"간담회",1,1,36.1850639839977,63.8149360160023
"간부",1,5,10.1855232934802,89.8144767065198
"간소화",4,2,53.1410169741516,46.8589830258484
"간식",2,4,22.0889894804604,77.9110105195396
"간의",49,19,59.3882867560713,40.6117132439287
"간접",8,6,43.0537437388594,56.9462562611406
"갈등",66,31,54.6943014238678,45.3056985761322
"감",7,4,49.806874828228,50.193125171772
"감각",14,20,28.414035911278,71.585964088722
"감기",1,1,36.1850639839977,63.8149360160023
"감독",3,1,62.9779609910999,37.0220390089001
"감동",15,24,26.1662706573432,73.8337293426568
"감명",5,1,73.9254436210558,26.0745563789442
"감사",6,14,19.5503443410944,80.4496556589056
"감상",12,1,87.1866744640948,12.8133255359051
"감성",5,4,41.479026876222,58.520973123778
"감소",9,9,36.1850639839977,63.8149360160023
"감시",2,1,53.1410169741516,46.8589830258484
"감정",19,9,54.4847538994904,45.5152461005096
"값",27,5,75.3813965652515,24.6186034347485
"강",13,2,78.6584862382111,21.3415137617889
"강국",3,6,22.0889894804604,77.9110105195396
"강도",8,3,60.1924040764047,39.8075959235953
"강사",17,23,29.5333023398973,70.4666976601027
"강압",1,3,15.8964478875207,84.1035521124793
"강연",35,3,86.8686526568498,13.1313473431502
"강원도",5,1,73.9254436210558,26.0745563789442
"강의",53,15,66.7056263509137,33.2943736490863
"강인한",7,6,39.8147429463002,60.1852570536998
"강점",75,31,57.8388149216785,42.1611850783215
"강조",2,1,53.1410169741516,46.8589830258484
"강해",7,2,66.4947785411554,33.5052214588446
"강해진",1,1,36.1850639839977,63.8149360160023
"강행군",1,1,36.1850639839977,63.8149360160023
"강화",15,4,68.0139945066527,31.9860054933473
"개개인",17,7,57.9315079398233,42.0684920601767
"개구리",7,3,56.953568854455,43.046431145545
"개그",4,1,69.4014157985136,30.5985842014864
"개근상",2,4,22.0889894804604,77.9110105195396
"개념",10,10,36.1850639839977,63.8149360160023
"개발",276,50,75.7869987539107,24.2130012460893
"개발업",4,1,69.4014157985136,30.5985842014864
"개발자",45,1,96.2287499944357,3.77125000556429
"개방",2,7,13.9421418044972,86.0578581955028
"개별",1,5,10.1855232934802,89.8144767065198
"개선",97,24,69.621034880781,30.378965119219
"개성",3,9,15.8964478875207,84.1035521124793
"개수",1,1,36.1850639839977,63.8149360160023
"개의",3,2,45.9619207586082,54.0380792413918
"개인",102,49,54.1358207009421,45.8641792990579
"개정",9,1,83.615371226333,16.384628773667
"개조",1,1,36.1850639839977,63.8149360160023
"개척",10,1,85.008199009827,14.991800990173
"개최",8,2,69.4014157985136,30.5985842014864
"객관적",21,6,66.4947785411554,33.5052214588446
"거기",5,6,32.0894868799385,67.9105131200615
"거동",2,2,36.1850639839977,63.8149360160023
"거란",1,1,36.1850639839977,63.8149360160023
"거래",12,3,69.4014157985136,30.5985842014864
"거래소",1,4,12.4157517940883,87.5842482059117
